dataset,n,chunk_size,merge_seed,method,statistic,estimate,oracle_decimal,absolute_error,relative_error,ulp_error,binary64
centered,12000,31,,naive,sum,0.00099999999999999742,0.001000000000000008694434061595757157192565500736236572265625,1.1275702593849246113677509129047393798828125E-17,1.1275702593849148077824808743384727465726733850851541993160521169927441655543396E-14,52,3f50624dd2f1a9f0
centered,12000,31,,naive,mean,8.3333333333333113e-08,8.3333333333334057869505132979763099380458394686381022135416666666666666666666667E-8,9.44477029228013807241974101695329106102387110392252604166666666667E-22,1.1333724350736067146584649443423929225898179258662789786619918382982826102163342E-14,71.362666666666669,3e765e9f80f29201
centered,12000,31,,naive,population_variance,0.00085002274999306752,0.0008500227499930555926023897850401163691916700819056878998219619222244722173709595,1.19229771469786411734434746939322430242583811630777755277826290405E-17,1.4026656518400299275205976868819892474560419281759849972486799595797507273261872E-14,109.97005401350134,3f4bda81f4bee9c9
centered,12000,31,,welford,sum,0.0010000000000000087,0.001000000000000008694434061595757157192565500736236572265625,0E-60,0,0,3f50624dd2f1aa24
centered,12000,31,,welford,mean,8.3333333333287996e-08,8.3333333333334057869505132979763099380458394686381022135416666666666666666666667E-8,4.6062216360320355305428089801959382990996042887369791666666666666667E-20,5.5274659632383945784630256851360312746802608590613649755053898578855648995452547E-13,3480.3626666666669,3e765e9f80f284b0
centered,12000,31,,welford,population_variance,0.0008500227499930557,0.0008500227499930555926023897850401163691916700819056878998219619222244722173709595,1.051734668866428427622391644498783697173655380777755277826290405E-19,1.2373017885403899546403997756463707619075631563110617015600314788742339351455792E-16,0.97005401350133336,3f4bda81f4bee95c
centered,12000,31,,chan_left,sum,0.0010000000000000087,0.001000000000000008694434061595757157192565500736236572265625,0E-60,0,0,3f50624dd2f1aa24
centered,12000,31,,chan_left,mean,8.3333333333393557e-08,8.3333333333334057869505132979763099380458394686381022135416666666666666666666667E-8,5.9499264691246824450961601845240996529658635457356770833333333333333E-20,7.1399117629495568566233636445904260007061051820657992753746878236247183004736375E-13,4495.6373333333331,3e765e9f80f2a3d8
centered,12000,31,,chan_left,population_variance,0.0008500227499930544,0.0008500227499930555926023897850401163691916700819056878998219619222244722173709595,1.1958691400959624780467041965940516839935719619222244722173709595E-18,1.4068672163253658059754393132157580135380139191720582851464698555522188684759721E-15,11.029945986498667,3f4bda81f4bee950
centered,12000,31,,chan_balanced,sum,0.0010000000000000087,0.001000000000000008694434061595757157192565500736236572265625,0E-60,0,0,3f50624dd2f1aa24
centered,12000,31,,chan_balanced,mean,8.3333333333399314e-08,8.3333333333334057869505132979763099380458394686381022135416666666666666666666667E-8,6.5256441754615897068066606342047937990476687749226888020833333333333E-20,7.8307730105538395640284011769915053531124578936869522905618535447201261730925214E-13,4930.6373333333331,3e765e9f80f2a58b
centered,12000,31,,chan_balanced,population_variance,0.0008500227499930557,0.0008500227499930555926023897850401163691916700819056878998219619222244722173709595,1.051734668866428427622391644498783697173655380777755277826290405E-19,1.2373017885403899546403997756463707619075631563110617015600314788742339351455792E-16,0.97005401350133336,3f4bda81f4bee95c
centered,12000,31,0,chan_random,sum,0.0010000000000000087,0.001000000000000008694434061595757157192565500736236572265625,0E-60,0,0,3f50624dd2f1aa24
centered,12000,31,0,chan_random,mean,8.3333333333389838e-08,8.3333333333334057869505132979763099380458394686381022135416666666666666666666667E-8,5.5780260657208412024739748365694443540026744206746419270833333333333E-20,6.6936312788649512456329830776830620971976336603059280172882658290780295367818987E-13,4214.6373333333331,3e765e9f80f2a2bf
centered,12000,31,0,chan_random,population_variance,0.00085002274999305559,0.0008500227499930555926023897850401163691916700819056878998219619222244722173709595,3.2467503619076006385061156371158014252125869222244722173709595E-21,3.8196040775780713225832966670625146199745372691575344525362690658801283179862503E-18,0.029945986498666689,3f4bda81f4bee95b
centered,12000,31,1,chan_random,sum,0.0010000000000000087,0.001000000000000008694434061595757157192565500736236572265625,0E-60,0,0,3f50624dd2f1aa24
centered,12000,31,1,chan_random,mean,8.333333333343616e-08,8.3333333333334057869505132979763099380458394686381022135416666666666666666666667E-8,1.02102374960177961817538635121612363339712222417195638020833333333333E-19,1.2252284995221248891420641384358413208513115248062331587759714159730736557853378E-12,7714.6373333333331,3e765e9f80f2b06b
