dataset,n,method,construction,capacity,seed,partition_size,merge_seed,q,value,oracle_value,value_error,target_index,tie_lower_index,tie_upper_index,rank_error,retained,retained_fraction
normal,20000,exact_median,exact,,,,,,-0.0056825734998276886,-0.0056825734998276886,0,,,,,20000,1
normal,20000,kll,sequential,32,11,,,0.01,-2.4141009886980584,-2.3706471596639775,0.043453829034080904,199,172,172,0.0013500675033751687,35,0.00175
normal,20000,kll,sequential,32,11,,,0.10000000000000001,-1.5884400767152476,-1.2913587514538585,0.29708132526138908,1999,1160,1160,0.041952097604880244,35,0.00175
normal,20000,kll,sequential,32,11,,,0.25,-0.7312797308883171,-0.68207070925987068,0.049209021628446425,4999,4682,4682,0.015850792539626981,35,0.00175
normal,20000,kll,sequential,32,11,,,0.5,-0.14756369924987653,-0.0057934692610270306,0.1417702299888495,9999,8872,8872,0.056352817640882041,35,0.00175
normal,20000,kll,sequential,32,11,,,0.75,0.55022998980717264,0.66396027043969696,0.11373028063252433,14999,14223,14223,0.038801940097004849,35,0.00175
normal,20000,kll,sequential,32,11,,,0.90000000000000002,1.1257565815285067,1.2605493334517524,0.13479275192324569,17999,17473,17473,0.026301315065753287,35,0.00175
normal,20000,kll,sequential,32,11,,,0.98999999999999999,1.7890334913111976,2.3085331684105435,0.51949967709934586,19799,19263,19263,0.026801340067003351,35,0.00175
normal,20000,kll,balanced_merge,32,11,257,20260823,0.01,-2.0090590713384149,-2.3706471596639775,0.36158808832556266,199,461,461,0.013100655032751637,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,11,257,20260823,0.10000000000000001,-1.3582493363478076,-1.2913587514538585,0.066890584893949168,1999,1797,1797,0.010100505025251262,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,11,257,20260823,0.25,-0.69507093356573946,-0.68207070925987068,0.013000224305868779,4999,4913,4913,0.0043002150107505372,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,11,257,20260823,0.5,-0.020198183408656194,-0.0057934692610270306,0.014404714147629163,9999,9881,9881,0.0059002950147507378,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,11,257,20260823,0.75,0.65886945040376266,0.66396027043969696,0.005090820035934307,14999,14965,14965,0.0017000850042502124,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,11,257,20260823,0.90000000000000002,1.3512077869820209,1.2605493334517524,0.090658453530268579,17999,18262,18262,0.013150657532876643,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,11,257,20260823,0.98999999999999999,2.0986853645122183,2.3085331684105435,0.20984780389832514,19799,19639,19639,0.0080004000200010004,68,0.0033999999999999998
normal,20000,kll,sequential,32,29,,,0.01,-1.8641633592501243,-2.3706471596639775,0.50648380041385321,199,640,640,0.022051102555127756,35,0.00175
normal,20000,kll,sequential,32,29,,,0.10000000000000001,-1.4219737962311312,-1.2913587514538585,0.1306150447772727,1999,1611,1611,0.019400970048502424,35,0.00175
normal,20000,kll,sequential,32,29,,,0.25,-0.70695388127754544,-0.68207070925987068,0.02488317201767476,4999,4839,4839,0.0080004000200010004,35,0.00175
normal,20000,kll,sequential,32,29,,,0.5,-0.02787887731786165,-0.0057934692610270306,0.022085408056834621,9999,9819,9819,0.0090004500225011243,35,0.00175
normal,20000,kll,sequential,32,29,,,0.75,0.72142346956385717,0.66396027043969696,0.057463199124160202,14999,15378,15378,0.018950947547377368,35,0.00175
normal,20000,kll,sequential,32,29,,,0.90000000000000002,1.6073201455979078,1.2605493334517524,0.34677081214615546,17999,18938,18938,0.046952347617380867,35,0.00175
normal,20000,kll,sequential,32,29,,,0.98999999999999999,2.8292155879369041,2.3085331684105435,0.52068241952636063,19799,19949,19949,0.0075003750187509375,35,0.00175
normal,20000,kll,balanced_merge,32,29,257,20260841,0.01,-3.6839396368886823,-2.3706471596639775,1.3132924772247048,199,1,1,0.009900495024751238,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,29,257,20260841,0.10000000000000001,-1.2836662845007989,-1.2913587514538585,0.0076924669530595846,1999,2019,2019,0.001000050002500125,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,29,257,20260841,0.25,-0.74610014933375735,-0.68207070925987068,0.064029440073886668,4999,4584,4584,0.020751037551877592,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,29,257,20260841,0.5,-0.058790675596847822,-0.0057934692610270306,0.052997206335820793,9999,9574,9574,0.021251062553127656,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,29,257,20260841,0.75,0.60453016707792573,0.66396027043969696,0.059430103361771236,14999,14612,14612,0.01935096754837742,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,29,257,20260841,0.90000000000000002,1.2029043769625769,1.2605493334517524,0.057644956489175447,17999,17791,17791,0.0104005200260013,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,29,257,20260841,0.98999999999999999,2.1760129804534749,2.3085331684105435,0.13252018795706855,19799,19707,19707,0.0046002300115005751,68,0.0033999999999999998
normal,20000,kll,sequential,32,47,,,0.01,-1.8076745319766319,-2.3706471596639775,0.56297262768734568,199,743,743,0.027201360068003399,35,0.00175
normal,20000,kll,sequential,32,47,,,0.10000000000000001,-1.50042922028058,-1.2913587514538585,0.20907046882672153,1999,1384,1384,0.030751537576878842,35,0.00175
normal,20000,kll,sequential,32,47,,,0.25,-0.61188496743408993,-0.68207070925987068,0.070185741825780745,4999,5458,5458,0.022951147557377868,35,0.00175
